triple,source,name,ordinals,fib_checksum,fib_mod23,span,direction_changes
AGLA / PRIMOGENITUS / ON,AGLAPRIMOGENITUSON,NISRAM,12-7-16-6-1-8,138,0,15,3
AGLA / PRIMOGENITUS / ON,AGLAPRIMOGENITUSON,NISRAM,12-7-16-6-4-8,153,15,12,3
AGLA / PRIMOGENITUS / ON,AGLAPRIMOGENITUSON,NISRAM,12-13-16-6-1-8,144,6,15,2
AGLA / PRIMOGENITUS / ON,AGLAPRIMOGENITUSON,NISRAM,12-13-16-6-4-8,159,21,12,2
AGLA / PRIMOGENITUS / ON,AGLAPRIMOGENITUSON,NISRAM,18-7-16-6-1-8,144,6,17,3
AGLA / PRIMOGENITUS / ON,AGLAPRIMOGENITUSON,MARSIN,8-1-6-16-7-12,200,16,15,3
AGLA / PRIMOGENITUS / ON,AGLAPRIMOGENITUSON,MARSIN,8-1-6-16-7-18,248,18,17,3
AGLA / PRIMOGENITUS / ON,AGLAPRIMOGENITUSON,MARSIN,8-1-6-16-13-12,230,0,15,2
AGLA / PRIMOGENITUS / ON,AGLAPRIMOGENITUSON,MARSIN,8-1-6-16-13-18,278,2,17,3
AGLA / PRIMOGENITUS / ON,AGLAPRIMOGENITUSON,MARSIN,8-4-6-16-7-12,203,19,12,3
AGLA / PRIMOGENITUS / ON,AGLAPRIMOGENITUSON,ROELER,6-9-11-3-11-6,149,11,8,3
AGLA / PRIMOGENITUS / ON,AGLAPRIMOGENITUSON,ROELER,6-17-11-3-11-6,157,19,14,3
AGLA / PRIMOGENITUS / ON,AGLAPRIMOGENITUSON,IOMIOT,7-9-8-7-9-14,210,3,7,2
AGLA / PRIMOGENITUS / ON,AGLAPRIMOGENITUSON,IOMIOT,7-9-8-7-17-14,250,20,10,3
AGLA / PRIMOGENITUS / ON,AGLAPRIMOGENITUSON,IOMIOT,7-9-8-13-9-14,228,21,7,4
AGLA / PRIMOGENITUS / ON,AGLAPRIMOGENITUSON,IOMIOT,7-9-8-13-17-14,268,15,10,3
AGLA / PRIMOGENITUS / ON,AGLAPRIMOGENITUSON,IOMIOT,7-17-8-7-9-14,218,11,10,2
AGLA / PRIMOGENITUS / ON,AGLAPRIMOGENITUSON,ILIOSU,7-3-7-9-16-15,251,21,13,2
AGLA / PRIMOGENITUS / ON,AGLAPRIMOGENITUSON,ILIOSU,7-3-7-17-16-15,275,22,14,2
AGLA / PRIMOGENITUS / ON,AGLAPRIMOGENITUSON,ILIOSU,7-3-13-9-16-15,263,10,13,4
AGLA / PRIMOGENITUS / ON,AGLAPRIMOGENITUSON,ILIOSU,7-3-13-17-16-15,287,11,14,2
AGLA / PRIMOGENITUS / ON,AGLAPRIMOGENITUSON,ILIOSU,13-3-7-9-16-15,257,4,13,2
REDEMPTOR / ELOY / ELY,REDEMPTORELOYELY,ROELER,1-8-2-11-2-1,64,18,10,3
REDEMPTOR / ELOY / ELY,REDEMPTORELOYELY,ROELER,1-8-2-11-2-9,128,13,10,4
REDEMPTOR / ELOY / ELY,REDEMPTORELOYELY,ROELER,1-8-2-11-4-1,74,5,10,3
REDEMPTOR / ELOY / ELY,REDEMPTORELOYELY,ROELER,1-8-2-11-4-9,138,0,10,4
REDEMPTOR / ELOY / ELY,REDEMPTORELOYELY,ROELER,1-8-2-11-10-1,104,12,10,3
IUSTORUM / GENITOR / BON,IUSTORUMGENITORBON,IOMIOT,1-5-8-1-5-4,82,13,7,3
IUSTORUM / GENITOR / BON,IUSTORUMGENITORBON,IOMIOT,1-5-8-1-5-13,154,16,12,2
IUSTORUM / GENITOR / BON,IUSTORUMGENITORBON,IOMIOT,1-5-8-1-14-4,127,12,13,3
IUSTORUM / GENITOR / BON,IUSTORUMGENITORBON,IOMIOT,1-5-8-1-14-13,199,15,13,3
IUSTORUM / GENITOR / BON,IUSTORUMGENITORBON,IOMIOT,1-5-8-1-17-4,142,4,16,3
AGIOS / PARACLITUS / ALPHA,AGIOSPARACLITUSALPHA,RAOSAC,8-1-4-5-1-10,117,2,9,3
AGIOS / PARACLITUS / ALPHA,AGIOSPARACLITUSALPHA,RAOSAC,8-1-4-5-7-10,147,9,9,1
AGIOS / PARACLITUS / ALPHA,AGIOSPARACLITUSALPHA,RAOSAC,8-1-4-5-9-10,157,19,9,1
AGIOS / PARACLITUS / ALPHA,AGIOSPARACLITUSALPHA,RAOSAC,8-1-4-5-16-10,192,8,15,2
AGIOS / PARACLITUS / ALPHA,AGIOSPARACLITUSALPHA,RAOSAC,8-1-4-5-20-10,212,5,19,2
AGIOS / PARACLITUS / ALPHA,AGIOSPARACLITUSALPHA,ILIOSU,3-11-3-4-5-14,169,8,11,2
AGIOS / PARACLITUS / ALPHA,AGIOSPARACLITUSALPHA,ILIOSU,3-11-3-4-15-14,219,12,12,3
AGIOS / PARACLITUS / ALPHA,AGIOSPARACLITUSALPHA,ILIOSU,3-11-12-4-5-14,187,3,11,2
AGIOS / PARACLITUS / ALPHA,AGIOSPARACLITUSALPHA,ILIOSU,3-11-12-4-15-14,237,7,12,3
AGIOS / PARACLITUS / ALPHA,AGIOSPARACLITUSALPHA,ILIOSU,3-17-3-4-5-14,175,14,14,2
DAMADAIS / TRINUS / SACERDOS,DAMADAISTRINUSSACERDOS,NISRAM,12-7-8-10-2-3,99,7,10,3
